S.No,Field of Interest,Company Hired,Top Skill,Experience Level
1,Data Analytics,GitHub,Unreal Engine,Not Fresher
2,Web Development,Statcon Electronics,C,Not Fresher
3,AI/ML,Batt:RE,Angular,Not Fresher
4,Game Development,Electronic Arts,Unreal Engine,Not Fresher
5,Data Analytics,OnePlus,C#,Not Fresher
6,Embedded Systems,Texas Instruments,C,Fresher
7,DevOps,DeepMind,HTML/CSS,Not Fresher
8,Data Analytics,EY,Power BI,Not Fresher
9,AI/ML,Infosys,Ethical Hacking,Not Fresher
10,Mobile Development,SunLife,Azure,Not Fresher
11,Game Development,TCS,C#,Fresher
12,Mobile Development,Apple,React Native,Not Fresher
13,Cybersecurity,Celebal Technologies,Flutter,Fresher
14,DevOps,Navikenz Inc,Unreal Engine,Not Fresher
15,Cloud Computing,Statcon Electronics,SQL,Not Fresher
16,AI/ML,DeepMind,PyTorch,Not Fresher
17,AI/ML,Accolite,Docker,Not Fresher
18,Embedded Systems,Texas Instruments,C,Not Fresher
19,DevOps,Atlassian,Kubernetes,Not Fresher
20,Embedded Systems,Cisco,RTOS,Not Fresher
21,Mobile Development,Samsung,Flutter,Not Fresher
22,DevOps,Atlassian,CI/CD,Fresher
23,Data Analytics,Hyundai,Scikit-learn,Not Fresher
24,Web Development,Microsoft,HTML/CSS,Not Fresher
25,Cloud Computing,AWS,Azure,Fresher
26,Cybersecurity,Zscaler,Ethical Hacking,Not Fresher
27,Embedded Systems,Yamaha,Docker,Not Fresher
28,Mobile Development,British Telecom,Docker,Not Fresher
29,Embedded Systems,Intel,Microcontrollers,Fresher
30,DevOps,Red Hat,Kubernetes,Not Fresher
31,AI/ML,NVIDIA,TensorFlow,Not Fresher
32,DevOps,Red Hat,CI/CD,Not Fresher
33,Embedded Systems,Qualcomm,Microcontrollers,Fresher
34,Embedded Systems,Nokia,Power BI,Not Fresher
35,Cloud Computing,Rockstar Games,Microcontrollers,Not Fresher
36,Game Development,Navikenz Inc,C#,Fresher
37,AI/ML,NVIDIA,Scikit-learn,Not Fresher
38,Web Development,Google,React,Fresher
39,Data Analytics,TCS,GCP,Not Fresher
40,Game Development,Rockstar Games,Unreal Engine,Not Fresher
41,Game Development,TVS Motors,Microcontrollers,Not Fresher
42,Game Development,GitHub,RTOS,Not Fresher
43,Cybersecurity,HSC,Tableau,Fresher
44,Cybersecurity,Palo Alto Networks,Firewalls,Fresher
45,Data Analytics,Red Hat,C,Not Fresher
46,Web Development,Juniper Networks,HTML/CSS,Not Fresher
47,Game Development,Synopsys,Power BI,Not Fresher
48,Web Development,OnePlus,Network Security,Not Fresher
49,DevOps,Principal Global,Tableau,Fresher
50,Embedded Systems,Intel,C,Not Fresher
51,Game Development,SunLife,Unreal Engine,Not Fresher
52,AI/ML,ICICI Prudential,React Native,Fresher
53,Game Development,SAP Lab,Angular,Not Fresher
54,Data Analytics,JP Morgan,Angular,Not Fresher
55,Cybersecurity,Statcon Electronics,CI/CD,Not Fresher
56,Cloud Computing,Celebal Technologies,CI/CD,Not Fresher
57,Game Development,Qualcomm,CI/CD,Not Fresher
58,Data Analytics,Secure Meters,RTOS,Not Fresher
59,Data Analytics,Mercer Mettl,React,Not Fresher
60,Mobile Development,Qualcomm,Unreal Engine,Not Fresher
61,Cybersecurity,rtCamp,Unreal Engine,Fresher
62,Cloud Computing,NVIDIA,Power BI,Not Fresher
63,Data Analytics,NI Systems,Kubernetes,Not Fresher
64,AI/ML,DeepMind,TensorFlow,Not Fresher
65,Data Analytics,EY,Power BI,Not Fresher
66,Game Development,Electronic Arts,Unreal Engine,Fresher
67,AI/ML,DeepMind,PyTorch,Not Fresher
68,Data Analytics,HSC,Power BI,Not Fresher
69,Cybersecurity,HashedIn,TensorFlow,Fresher
70,Cloud Computing,Tata Consulting Engineers,Kubernetes,Not Fresher
71,Cloud Computing,Google Cloud,Azure,Fresher
72,Mobile Development,Samsung,React Native,Not Fresher
73,AI/ML,OpenAI,Scikit-learn,Not Fresher
74,Cloud Computing,AWS,GCP,Not Fresher
75,Cloud Computing,AWS,AWS,Fresher
76,Game Development,Silicon Labs,Network Security,Not Fresher
77,DevOps,Statcon Electronics,CI/CD,Fresher
78,Game Development,Electronic Arts,C#,Fresher
79,Game Development,Electronic Arts,Unreal Engine,Not Fresher
80,DevOps,Bosch Ltd.,Microcontrollers,Not Fresher
81,Cybersecurity,Palo Alto Networks,Network Security,Fresher
82,Game Development,EY,Microcontrollers,Not Fresher
83,Embedded Systems,Yamaha,SQL,Not Fresher
84,Game Development,Electronic Arts,Unreal Engine,Not Fresher
85,AI/ML,DeepMind,PyTorch,Not Fresher
86,Embedded Systems,Intel,RTOS,Not Fresher
87,Embedded Systems,Hexaware,PyTorch,Not Fresher
88,Web Development,Google,HTML/CSS,Not Fresher
89,Mobile Development,Hexaware,Tableau,Fresher
90,AI/ML,NVIDIA,PyTorch,Not Fresher
91,Web Development,TCS,React,Fresher
92,Cybersecurity,Schneider,GCP,Fresher
93,Game Development,ICICI Prudential,SQL,Fresher
94,Mobile Development,Microsoft,TensorFlow,Not Fresher
95,DevOps,Red Hat,Kubernetes,Fresher
96,Embedded Systems,Sabre,React Native,Not Fresher
97,AI/ML,OpenAI,PyTorch,Not Fresher
98,Embedded Systems,Microsoft,Kubernetes,Not Fresher
99,Embedded Systems,Micron Semiconductor,Docker,Not Fresher
100,Cybersecurity,Mahindra & Mahindra,AWS,Fresher
101,Embedded Systems,JSW,Azure,Not Fresher
102,AI/ML,NVIDIA,Scikit-learn,Not Fresher
103,Mobile Development,Samsung,React Native,Not Fresher
104,Embedded Systems,Intel,C,Not Fresher
105,Data Analytics,PwC,SQL,Fresher
106,Game Development,Electronic Arts,Unity,Not Fresher
107,Embedded Systems,Dell Technologies,Ethical Hacking,Fresher
108,Cybersecurity,Navikenz Inc,Flutter,Fresher
109,Cybersecurity,Micron Semiconductor,Azure,Not Fresher
110,DevOps,Red Hat,Azure,Not Fresher
111,Cloud Computing,AWS,GCP,Not Fresher
112,Mobile Development,Google Cloud,Network Security,Not Fresher
113,Cloud Computing,Azure,Azure,Not Fresher
114,DevOps,Red Hat,CI/CD,Not Fresher
115,Web Development,Google,React,Not Fresher
116,Cybersecurity,Dell Technologies,React Native,Not Fresher
117,DevOps,Silicon Labs,RTOS,Not Fresher
118,Data Analytics,Accolite,PyTorch,Not Fresher
119,Mobile Development,Apple,React Native,Not Fresher
120,Mobile Development,Palo Alto Networks,Tableau,Not Fresher
121,Game Development,Apple,CI/CD,Fresher
122,Embedded Systems,Intel,Microcontrollers,Not Fresher
123,AI/ML,NVIDIA,PyTorch,Not Fresher
124,AI/ML,Marsh McLennan,Network Security,Not Fresher
125,Web Development,rtCamp,Angular,Fresher
126,DevOps,Atlassian,Kubernetes,Fresher
127,AI/ML,DeepMind,Scikit-learn,Not Fresher
128,DevOps,Schneider,Ethical Hacking,Not Fresher
129,Embedded Systems,SunLife,Flutter,Fresher
130,Mobile Development,Hexaware,RTOS,Not Fresher
131,Cloud Computing,SunLife,Firewalls,Fresher
132,AI/ML,DeepMind,GCP,Not Fresher
133,Cloud Computing,HashedIn,Scikit-learn,Not Fresher
134,Cybersecurity,Hyundai,SQL,Fresher
135,Cloud Computing,Azure,GCP,Not Fresher
136,Game Development,Cipla,Angular,Not Fresher
137,Embedded Systems,Qualcomm,C,Fresher
138,Mobile Development,DeepMind,Kubernetes,Fresher
139,Mobile Development,Samsung,Azure,Not Fresher
140,Cybersecurity,Zscaler,Firewalls,Not Fresher
141,Data Analytics,Scaler,Microcontrollers,Not Fresher
142,Mobile Development,Apple,Kotlin,Fresher
143,Data Analytics,Persistent,C,Not Fresher
144,Cybersecurity,Palo Alto Networks,Network Security,Not Fresher
145,Cybersecurity,Maverick Quantum,Firewalls,Not Fresher
146,Embedded Systems,Sanguine Global,React,Fresher
147,Mobile Development,OnePlus,Flutter,Not Fresher
148,Cloud Computing,Schneider,Network Security,Not Fresher
149,Embedded Systems,Seagate,Unity,Not Fresher
150,AI/ML,NVIDIA,TensorFlow,Not Fresher
151,DevOps,Atlassian,CI/CD,Not Fresher
152,DevOps,Red Hat,CI/CD,Not Fresher
153,Game Development,Synopsys,Angular,Not Fresher
154,Data Analytics,Celebal Technologies,Docker,Fresher
155,DevOps,OpenAI,React,Not Fresher
156,Web Development,Qualcomm,Unreal Engine,Not Fresher
157,DevOps,JSW,Ethical Hacking,Not Fresher
158,Game Development,Electronic Arts,C#,Not Fresher
159,AI/ML,HSC,Kotlin,Not Fresher
160,Web Development,Google,Angular,Not Fresher
161,Embedded Systems,AWS,Tableau,Not Fresher
162,Cloud Computing,Ubisoft,C,Not Fresher
163,Data Analytics,Mahindra & Mahindra,Azure,Not Fresher
164,Data Analytics,Palo Alto Networks,React,Fresher
165,Cloud Computing,Atlassian,Kotlin,Not Fresher
166,Data Analytics,PwC,SQL,Not Fresher
167,Game Development,JSW,Azure,Not Fresher
168,Mobile Development,OnePlus,React Native,Not Fresher
169,Cloud Computing,Azure,Azure,Not Fresher
170,Web Development,Microsoft,React,Not Fresher
171,Embedded Systems,Micron Semiconductor,TensorFlow,Not Fresher
172,Embedded Systems,Qualcomm,Microcontrollers,Not Fresher
173,Cloud Computing,Google Cloud,AWS,Not Fresher
174,Data Analytics,EY,Tableau,Not Fresher
175,Embedded Systems,Intel,RTOS,Fresher
176,Game Development,Persistent,Docker,Fresher
177,Data Analytics,Apple,GCP,Fresher
